wsg,idlevel,site,sp,genus,latin,genwood,famwood
0.525773,genus,pantree,ocoten,Ocotea,Ocotea endresiana,0.525773,0.558537
0.525773,genus,pantree,ocotha,Ocotea,Ocotea hartshorniana,0.525773,0.558537
0.525773,genus,pantree,ocothe,Ocotea,Ocotea helicterifolia,0.525773,0.558537
0.525773,genus,pantree,ocotir,Ocotea,Ocotea insularis,0.525773,0.558537
0.525773,genus,pantree,ocotjo,Ocotea,Ocotea jorge-escobarii,0.525773,0.558537
0.46175,species,pantree,ocotle,Ocotea,Ocotea leucoxylon,0.525773,0.558537
0.525773,genus,pantree,ocotme,Ocotea,Ocotea meziana,0.525773,0.558537
0.3855,species,pantree,ocotob,Ocotea,Ocotea oblonga,0.525773,0.558537
0.4325,species,pantree,ocotpu,Ocotea,Ocotea puberula,0.525773,0.558537
0.525773,genus,pantree,ocotru,Ocotea,Ocotea rubrinervis,0.525773,0.558537
0.525773,genus,pantree,ocot13,Ocotea,Ocotea sp.13,0.525773,0.558537
0.525773,genus,pantree,ocot14,Ocotea,Ocotea sp.14,0.525773,0.558537
0.525773,genus,pantree,ocot17,Ocotea,Ocotea sp.17,0.525773,0.558537
0.525773,genus,pantree,ocot18,Ocotea,Ocotea sp.18,0.525773,0.558537
0.525773,genus,pantree,ocot19,Ocotea,Ocotea sp.19,0.525773,0.558537
0.525773,genus,pantree,ocot5,Ocotea,Ocotea sp.5,0.525773,0.558537
0.525773,genus,pantree,ocot6,Ocotea,Ocotea sp.6,0.525773,0.558537
0.525773,genus,pantree,ocot7,Ocotea,Ocotea sp.7,0.525773,0.558537
0.525773,genus,pantree,ocot8,Ocotea,Ocotea sp.8,0.525773,0.558537
0.525773,genus,pantree,ocot9,Ocotea,Ocotea sp.9,0.525773,0.558537
0.525773,genus,pantree,ocotto,Ocotea,Ocotea tonduzii,0.525773,0.558537
0.735,species,pantree,ocotve,Ocotea,Ocotea veraguensis,0.525773,0.558537
0.525773,genus,pantree,ocotwh,Ocotea,Ocotea whitei,0.525773,0.558537
0.6815,genus,pantree,oenoba,Oenocarpus,Oenocarpus bataua,0.6815,0.568511
0.713,species,pantree,oenoma,Oenocarpus,Oenocarpus mapora,0.6815,0.568511
NA,NA,pantree,opunel,Opuntia,Opuntia elatior,NA,NA
0.52,genus,pantree,oreoca,Oreopanax,Oreopanax capitatus,0.52,0.428823
0.52,genus,pantree,oreo2,Oreopanax,Oreopanax sp.2,0.52,0.428823
0.588616,genus,pantree,ormoam,Ormosia,Ormosia amazonica,0.588616,0.678168
0.625,species,pantree,ormocr,Ormosia,Ormosia coccinea,0.588616,0.678168
0.588616,genus,pantree,ormoma,Ormosia,Ormosia macrocalyx,0.588616,0.678168
0.668236,family,pantree,ossasp,Ossaea,Ossaea spicata,NA,0.668236
0.465857,species,pantree,ostepl,Osteophloeum,Osteophloeum platyspermum,0.465857,0.505312
0.408929,genus,pantree,otobac,Otoba,Otoba acuminata,0.408929,0.505312
0.408929,genus,pantree,otobla,Otoba,Otoba latialata,0.408929,0.505312
0.35,species,pantree,otobno,Otoba,Otoba novogranatensis,0.408929,0.505312
0.425833,species,pantree,otobpa,Otoba,Otoba parvifolia,0.408929,0.505312
0.727,genus,pantree,ourakn,Ouratea,Ouratea knappiae,0.727,0.777205
0.727,genus,pantree,ouralu,Ouratea,Ouratea lucens,0.727,0.777205
0.727,genus,pantree,ouraco,Ouratea,Ouratea prominens,0.727,0.777205
0.727,genus,pantree,ourasu,Ouratea,Ouratea sulcatinervia,0.727,0.777205
0.727981,genus,pantree,oxanlo,Oxandra,Oxandra longipetala,0.727981,0.564953
0.727981,genus,pantree,oxanpa,Oxandra,Oxandra panamensis,0.727981,0.564953
0.727981,genus,pantree,oxanve,Oxandra,Oxandra venezuelana,0.727981,0.564953
0.376667,species,pantree,pochaq,Pachira,Pachira aquatica,0.439,0.475382
0.415,species,pantree,pochqu,Pachira,Pachira quinata,0.439,0.475382
0.42,species,pantree,pochse,Pachira,Pachira sessilis,0.439,0.475382
0.54,species,pantree,paligu,Palicourea,Palicourea guianensis,0.52667,0.635113
0.52667,genus,pantree,palitr,Palicourea,Palicourea triphylla,0.52667,0.635113
0.509,genus,pantree,panosu,Panopsis,Panopsis suaveolens,0.509,0.633844
0.62,genus,pantree,par2am,Parathesis,Parathesis amplifolia,0.62,0.647118
0.62,genus,pantree,par21,Parathesis,Parathesis sp.1,0.62,0.647118
0.701764,genus,pantree,parich,Parinari,Parinari chocoensis,0.701764,0.78005
0.383,species,pantree,parkni,Parkia,Parkia nitida,0.451791,0.678168
0.678168,family,pantree,par1ac,Parkinsonia,Parkinsonia aculeata,NA,0.678168
0.618486,family,pantree,parmce,Parmentiera,Parmentiera cereifera,NA,0.618486
0.618486,family,pantree,parmma,Parmentiera,Parmentiera macrophylla,NA,0.618486
0.475382,family,pantree,lopida,Pavonia,Pavonia dasypetala,NA,0.475382
NA,NA,pantree,pellrh,Pelliciera,Pelliciera rhizophorae,NA,NA
0.635113,family,pantree,pentco,Pentagonia,Pentagonia costaricensis,NA,0.635113
0.635113,family,pantree,pentgy,Pentagonia,Pentagonia gymnopoda,NA,0.635113
0.635113,family,pantree,pentma,Pentagonia,Pentagonia macrophylla,NA,0.635113
0.635113,family,pantree,pentpa,Pentagonia,Pentagonia parvifolia,NA,0.635113
0.73,species,pantree,peraar,Pera,Pera arborea,0.646889,0.509083
0.646889,genus,pantree,peraop,Pera,Pera oppositifolia,0.646889,0.509083
0.517,species,pantree,perean,Perebea,Perebea angustifolia,0.487833,0.539787
0.56,species,pantree,peregu,Perebea,Perebea guianensis,0.487833,0.539787
0.487833,genus,pantree,pere1,Perebea,Perebea sp.1,0.487833,0.539787
0.56,species,pantree,perexa,Perebea,Perebea xanthochyma,0.487833,0.539787
NA,NA,pantree,per1bl,Pereskia,Pereskia bleo,NA,NA
0.514821,genus,pantree,persam,Persea,Persea americana,0.514821,0.558537
0.7374,genus,pantree,photmi,Photinia,Photinia microcarpa,0.7374,0.618609
0.617778,genus,pantree,phylac,Phyllanthus,Phyllanthus acuminatus,0.617778,0.610198
0.568511,family,pantree,phytse,Phytelephas,Phytelephas seemannii,NA,0.568511
NA,NA,pantree,picrla,Picramnia,Picramnia latifolia,NA,NA
NA,NA,pantree,picr1,Picramnia,Picramnia sp.1,NA,NA
0.446,genus,pantree,pinuca,Pinus,Pinus caribaea,0.446,0.428
0.4,species,pantree,pipead,Piper,Piper aduncum,0.382514,0.382514
0.382514,genus,pantree,pipeae,Piper,Piper aequale,0.382514,0.382514
0.401667,species,pantree,pipeam,Piper,Piper amalago,0.382514,0.382514
0.382514,genus,pantree,pipea1,Piper,Piper arboreum,0.382514,0.382514
0.382514,genus,pantree,pipea4,Piper,Piper augustum,0.382514,0.382514
0.382514,genus,pantree,pipeau,Piper,Piper auritum,0.382514,0.382514
0.382514,genus,pantree,pipecu,Piper,Piper colonense,0.382514,0.382514
0.382514,genus,pantree,pipeco,Piper,Piper cordulatum,0.382514,0.382514
0.382514,genus,pantree,pipefi,Piper,Piper fimbriulatum,0.382514,0.382514
0.382514,genus,pantree,pipegr,Piper,Piper grande,0.382514,0.382514
0.382514,genus,pantree,pipeh2,Piper,Piper hirtellipetiolum,0.382514,0.382514
0.392696,species,pantree,pipehi,Piper,Piper hispidum,0.382514,0.382514
0.382514,genus,pantree,pipeim,Piper,Piper imperialis,0.382514,0.382514
0.382514,genus,pantree,pipelo,Piper,Piper longispicum,0.382514,0.382514
0.382514,genus,pantree,pipema,Piper,Piper marginatum,0.382514,0.382514
0.382514,genus,pantree,pipepe,Piper,Piper perlasense,0.382514,0.382514
0.382514,genus,pantree,pipeph,Piper,Piper phytolaccifolium,0.382514,0.382514
0.33,species,pantree,pipere,Piper,Piper reticulatum,0.382514,0.382514
0.382514,genus,pantree,pipesa,Piper,Piper sancti-felicis,0.382514,0.382514
0.382514,genus,pantree,pipeca,Piper,Piper schiedeanum,0.382514,0.382514
0.382514,genus,pantree,pipe5,Piper,Piper sp.5,0.382514,0.382514
0.382514,genus,pantree,pipe6,Piper,Piper sp.6,0.382514,0.382514
0.382514,genus,pantree,pipe7,Piper,Piper sp.7,0.382514,0.382514
0.382514,genus,pantree,pipe8,Piper,Piper sp.8,0.382514,0.382514
0.556773,genus,pantree,pit1hy,Pithecellobium,Pithecellobium hymenaeifolium,0.556773,0.678168
0.556773,genus,pantree,pit1la,Pithecellobium,Pithecellobium lanceolatum,0.556773,0.678168
0.556773,genus,pantree,pit1un,Pithecellobium,Pithecellobium unguis-cati,0.556773,0.678168
0.635113,family,pantree,antitr,Pittoniotis,Pittoniotis trichantha,NA,0.635113
0.72125,species,pantree,pla1pi,Platymiscium,Platymiscium pinnatum,0.784048,0.678168
0.80575,species,pantree,pla2el,Platypodium,Platypodium elegans,0.80575,0.678168
0.68,species,pantree,ple1li,Pleuranthodendron,Pleuranthodendron lindenii,0.68,0.56611
0.47,genus,pantree,pleura,Pleurothyrium,Pleurothyrium racemosum,0.47,0.558537
0.47,genus,pantree,pleu2,Pleurothyrium,Pleurothyrium sp.2_(hoja_grande),0.47,0.558537
0.95,genus,pantree,plinpo,Plinia,Plinia povedae,0.95,0.767024
0.566004,family,pantree,plumac,Plumeria,Plumeria rubra,NA,0.566004
0.477576,genus,pantree,podogu,Podocarpus,Podocarpus guatemalensis,0.477576,0.489556
0.453333,species,pantree,podool,Podocarpus,Podocarpus oleifolius,0.477576,0.489556
0.635113,family,pantree,pogosp,Pogonopus,Pogonopus exsertus,NA,0.635113
0.630596,family,pantree,polldi,Pollalesta,Pollalesta discolor,NA,0.630596
0.569667,species,pantree,posola,Posoqueria,Posoqueria latifolia,0.553167,0.635113
0.553167,genus,pantree,posoma,Posoqueria,Posoqueria maxima,0.553167,0.635113
0.553167,genus,pantree,poso1,Posoqueria,Posoqueria sp.1_(hojas_chicas),0.553167,0.635113
0.692667,family,pantree,potaam,Potalia,Potalia amara,NA,0.692667
0.350429,species,pantree,poular,Poulsenia,Poulsenia armata,0.350429,0.539787
0.353167,species,pantree,pourbi,Pourouma,Pourouma bicolor,0.38625,0.343615
0.436,species,pantree,pourmi,Pourouma,Pourouma minor,0.38625,0.343615
0.56,species,pantree,poutbu,Pouteria,Pouteria buenaventurensis,0.714372,0.703375
0.714372,genus,pantree,poutb1,Pouteria,Pouteria bulliformis,0.714372,0.703375
0.714372,genus,pantree,poutc1,Pouteria,Pouteria calistophylla,0.714372,0.703375
0.79,species,pantree,poutca,Pouteria,Pouteria campechiana,0.714372,0.703375
0.714372,genus,pantree,poutco,Pouteria,Pouteria congestifolia,0.714372,0.703375
0.9,species,pantree,poutcu,Pouteria,Pouteria cuspidata,0.714372,0.703375
0.69,species,pantree,poutdu,Pouteria,Pouteria durlandii,0.714372,0.703375
0.714372,genus,pantree,poutfo,Pouteria,Pouteria fossicola,0.714372,0.703375
0.714372,genus,pantree,poutf1,Pouteria,Pouteria foveolata,0.714372,0.703375
0.679,species,pantree,poutgl,Pouteria,Pouteria glomerata,0.714372,0.703375
0.714372,genus,pantree,poutle,Pouteria,Pouteria leptopedicellata,0.714372,0.703375
0.794,species,pantree,poutre,Pouteria,Pouteria reticulata,0.714372,0.703375
0.714372,genus,pantree,poutsa,Pouteria,Pouteria sapota,0.714372,0.703375
0.714372,genus,pantree,poutsy,Pouteria,Pouteria silvestris,0.714372,0.703375
0.714372,genus,pantree,pout10,Pouteria,Pouteria sp.10,0.714372,0.703375
0.714372,genus,pantree,pout17,Pouteria,Pouteria sp.17,0.714372,0.703375
0.714372,genus,pantree,pout18,Pouteria,Pouteria sp.18,0.714372,0.703375
0.714372,genus,pantree,pout20,Pouteria,Pouteria sp.20,0.714372,0.703375
0.714372,genus,pantree,pout21,Pouteria,Pouteria sp.21,0.714372,0.703375
0.714372,genus,pantree,pout23,Pouteria,Pouteria sp.23,0.714372,0.703375
0.714372,genus,pantree,pout27,Pouteria,Pouteria sp.27,0.714372,0.703375
0.714372,genus,pantree,pout28,Pouteria,Pouteria sp.28,0.714372,0.703375
0.714372,genus,pantree,pout3,Pouteria,Pouteria sp.3,0.714372,0.703375
0.714372,genus,pantree,pout30,Pouteria,Pouteria sp.30,0.714372,0.703375
0.714372,genus,pantree,pout4,Pouteria,Pouteria sp.4,0.714372,0.703375
0.714372,genus,pantree,pout7,Pouteria,Pouteria sp.7,0.714372,0.703375
0.714372,genus,pantree,pout8,Pouteria,Pouteria sp.8,0.714372,0.703375
0.714372,genus,pantree,pout9,Pouteria,Pouteria sp.9,0.714372,0.703375
0.714372,genus,pantree,poutst,Pouteria,Pouteria stipitata,0.714372,0.703375
0.7685,species,pantree,poutto,Pouteria,Pouteria torta,0.714372,0.703375
0.25,species,pantree,presde,Prestoea,Prestoea decurrens,0.279657,0.568511
0.413571,species,pantree,pri2co,Prioria,Prioria copaifera,0.441682,0.678168
0.58,species,pantree,proccr,Prockia,Prockia crucis,0.496,0.56611
0.678168,family,pantree,prosju,Prosopis,Prosopis juliflora,NA,0.678168
0.575724,genus,pantree,protsp,Protium,Protium confusum,0.575724,0.521651
0.575724,genus,pantree,protco,Protium,Protium costaricense,0.575724,0.521651
0.575724,genus,pantree,protgl,Protium,Protium glabrum,0.575724,0.521651
0.452333,species,pantree,protpa,Protium,Protium panamense,0.575724,0.521651
0.56975,species,pantree,protte,Protium,Protium tenuifolium,0.575724,0.521651
0.685,species,pantree,prottr,Protium,Protium trifoliolatum,0.575724,0.521651
0.693076,family,pantree,pse3fr,Pseudima,Pseudima frutescens,NA,0.693076
0.211667,species,pantree,pse1se,Pseudobombax,Pseudobombax septenatum,0.272273,0.475382
0.629,species,pantree,pse2la,Pseudolmedia,Pseudolmedia laevigata,0.642731,0.539787
0.675,species,pantree,pse2sp,Pseudolmedia,Pseudolmedia spuria,0.642731,0.539787
0.678168,family,pantree,albigu,Pseudosamanea,Pseudosamanea guachapele,NA,0.678168
0.810091,genus,pantree,psidfr,Psidium,Psidium friedrichsthalianum,0.810091,0.767024
0.810091,genus,pantree,psidgu,Psidium,Psidium guajava,0.810091,0.767024
0.493655,genus,pantree,psycac,Psychotria,Psychotria acuminata,0.493655,0.635113
0.493655,genus,pantree,psycal,Psychotria,Psychotria allenii,0.493655,0.635113
0.376259,species,pantree,psycb1,Psychotria,Psychotria brachiata,0.493655,0.635113
0.493655,genus,pantree,psycb2,Psychotria,Psychotria brachybotrya,0.493655,0.635113
0.493655,genus,pantree,psycca,Psychotria,Psychotria calophylla,0.493655,0.635113
0.493655,genus,pantree,psycc1,Psychotria,Psychotria capitata,0.493655,0.635113
0.493655,genus,pantree,psycch,Psychotria,Psychotria chagrensis,0.493655,0.635113
0.493655,genus,pantree,psycci,Psychotria,Psychotria cincta,0.493655,0.635113
0.480397,species,pantree,psycde,Psychotria,Psychotria deflexa,0.493655,0.635113
0.493655,genus,pantree,psycel,Psychotria,Psychotria elata,0.493655,0.635113
0.493655,genus,pantree,psycer,Psychotria,Psychotria erecta,0.493655,0.635113
0.493655,genus,pantree,psycg1,Psychotria,Psychotria graciliflora,0.493655,0.635113
0.294816,species,pantree,psycg3,Psychotria,Psychotria grandis,0.493655,0.635113
0.493655,genus,pantree,psycfu,Psychotria,Psychotria hoffmannseggiana,0.493655,0.635113
0.493655,genus,pantree,psycho,Psychotria,Psychotria horizontalis,0.493655,0.635113
0.493655,genus,pantree,psycli,Psychotria,Psychotria limonensis,0.493655,0.635113
0.493655,genus,pantree,psyclu,Psychotria,Psychotria luxurians,0.493655,0.635113
0.493655,genus,pantree,psycma,Psychotria,Psychotria marginata,0.493655,0.635113
0.493655,genus,pantree,psycmi,Psychotria,Psychotria micrantha,0.493655,0.635113
0.493655,genus,pantree,psycne,Psychotria,Psychotria nervosa,0.493655,0.635113
0.493655,genus,pantree,psycpa,Psychotria,Psychotria panamensis,0.493655,0.635113
0.493655,genus,pantree,psycpo,Psychotria,Psychotria poeppigiana,0.493655,0.635113
0.493655,genus,pantree,psycps,Psychotria,Psychotria psychotriifolia,0.493655,0.635113
0.493655,genus,pantree,psycpu,Psychotria,Psychotria pubescens,0.493655,0.635113
0.493655,genus,pantree,psycra,Psychotria,Psychotria racemosa,0.493655,0.635113
0.493655,genus,pantree,psycre,Psychotria,Psychotria remota,0.493655,0.635113
0.493655,genus,pantree,psycsa,Psychotria,Psychotria santaritensis,0.493655,0.635113
0.493655,genus,pantree,psyc4,Psychotria,Psychotria sp.4,0.493655,0.635113
0.493655,genus,pantree,psycsu,Psychotria,Psychotria suerrensis,0.493655,0.635113
0.493655,genus,pantree,psycg2,Psychotria,Psychotria tenuifolia,0.493655,0.635113
0.493655,genus,pantree,psycum,Psychotria,Psychotria umbelliformis,0.493655,0.635113
0.580347,genus,pantree,pterac,Pterocarpus,Pterocarpus acapulcensis,0.580347,0.678168
0.379868,species,pantree,pterof,Pterocarpus,Pterocarpus officinalis,0.580347,0.678168
0.449286,species,pantree,pterro,Pterocarpus,Pterocarpus rohrii,0.580347,0.678168
0.580347,genus,pantree,pter2,Pterocarpus,Pterocarpus sp.2,0.580347,0.678168
0.580347,genus,pantree,pter3,Pterocarpus,Pterocarpus sp.3,0.580347,0.678168
0.646811,genus,pantree,qualpo,Qualea,Qualea polychroma,0.646811,0.551652
0.454,species,pantree,quaras,Quararibea,Quararibea asterolepis,0.500629,0.475382
0.500629,genus,pantree,quarpl,Quararibea,Quararibea platyphylla,0.500629,0.475382
0.500629,genus,pantree,quarpt,Quararibea,Quararibea pterocalyx,0.500629,0.475382
0.500629,genus,pantree,quarpu,Quararibea,Quararibea pumila,0.500629,0.475382
0.500629,genus,pantree,quar3,Quararibea,Quararibea sp.3,0.500629,0.475382
0.500629,genus,pantree,quar4,Quararibea,Quararibea sp.4,0.500629,0.475382
0.47,species,pantree,quasam,Quassia,Quassia amara,0.351833,0.421875
0.661201,family,pantree,quetoc,Quetzalia,Quetzalia occidentalis,NA,0.661201
0.8615,genus,pantree,quiisc,Quiina,Quiina schippii,0.8615,0.819889
0.661385,genus,pantree,rand4,Randia,Randia campo_chagres,0.661385,0.635113
0.661385,genus,pantree,randac,Randia,Randia aculeata,0.661385,0.635113
0.668,species,pantree,randar,Randia,Randia armata,0.661385,0.635113
0.661385,genus,pantree,randgr,Randia,Randia grandifolia,0.661385,0.635113
0.661385,genus,pantree,randho,Randia,Randia hondensis,0.661385,0.635113
0.661385,genus,pantree,randla,Randia,Randia lasiantha,0.661385,0.635113
0.661385,genus,pantree,rand2,Randia,Randia sp.2,0.661385,0.635113
0.661385,genus,pantree,rand3,Randia,Randia sp.3,0.661385,0.635113
0.568511,family,pantree,raphta,Raphia,Raphia taedigera,NA,0.568511
0.635113,family,pantree,raripa,Raritebe,Raritebe palicoureoides,NA,0.635113
0.474231,genus,pantree,rauvli,Rauvolfia,Rauvolfia littoralis,0.474231,0.566004
0.474231,genus,pantree,rauvpu,Rauvolfia,Rauvolfia purpurascens,0.474231,0.566004
0.739506,family,pantree,rhizma,Rhizophora,Rhizophora mangle,NA,0.739506
0.509083,family,pantree,ricico,Ricinus,Ricinus communis,NA,0.509083
0.670538,genus,pantree,rinocr,Rinorea,Rinorea crenata,0.670538,0.648654
0.670538,genus,pantree,rinoda,Rinorea,Rinorea dasyadena,0.670538,0.648654
0.670538,genus,pantree,rinohu,Rinorea,Rinorea hummelii,0.670538,0.648654
0.670538,genus,pantree,rinoli,Rinorea,Rinorea lindeniana,0.670538,0.648654
0.670538,genus,pantree,rino2,Rinorea,Rinorea sp.2,0.670538,0.648654
0.670538,genus,pantree,rino3,Rinorea,Rinorea sp.3,0.670538,0.648654
0.670538,genus,pantree,rinosq,Rinorea,Rinorea squamata,0.670538,0.648654
0.670538,genus,pantree,rinosy,Rinorea,Rinorea sylvatica,0.670538,0.648654
0.3604,genus,pantree,rollmu,Rollinia,Rollinia mucosa,0.3604,0.564953
0.27,species,pantree,rollpi,Rollinia,Rollinia pittieri,0.3604,0.564953
0.6375,genus,pantree,rondam,Rondeletia,Rondeletia amoena,0.6375,0.635113
0.6375,genus,pantree,rondbu,Rondeletia,Rondeletia buddleioides,0.6375,0.635113
0.6375,genus,pantree,rondha,Rondeletia,Rondeletia hameliifolia,0.6375,0.635113
0.6375,genus,pantree,rondpa,Rondeletia,Rondeletia panamensis,0.6375,0.635113
0.635113,family,pantree,randfo,Rosenbergiodendron,Rosenbergiodendron formosum,NA,0.635113
0.78,species,pantree,roupmo,Roupala,Roupala montana,0.848,0.633844
0.848,genus,pantree,rouppe,Roupala,Roupala percoriacea,0.848,0.633844
0.82,genus,pantree,roysre,Roystonea,Roystonea regia,0.82,0.568511
0.57,genus,pantree,rudgco,Rudgea,Rudgea cornifolia,0.57,0.635113
0.57,genus,pantree,rudgis,Rudgea,Rudgea isthmensis,0.57,0.635113
0.57,genus,pantree,rudgpi,Rudgea,Rudgea pittieri,0.57,0.635113
0.57,genus,pantree,rudgsk,Rudgea,Rudgea skutchii,0.57,0.635113
0.57,genus,pantree,rudg1,Rudgea,Rudgea sp.1,0.57,0.635113
0.602922,family,pantree,ruprco,Ruprechtia,Ruprechtia costata,NA,0.602922
NA,NA,pantree,ruptca,Ruptiliocarpon,Ruptiliocarpon caracolito,NA,NA
0.56611,family,pantree,ryansp,Ryania,Ryania speciosa,NA,0.56611
0.800579,genus,pantree,sacoov,Sacoglottis,Sacoglottis ovicarpa,0.800579,0.771515
0.800579,genus,pantree,sacotr,Sacoglottis,Sacoglottis trichogyna,0.800579,0.771515
0.76,genus,pantree,salaju,Salacia,Salacia juruana,0.76,0.661201
0.76,genus,pantree,salape,Salacia,Salacia petenensis,0.76,0.661201
0.678168,family,pantree,samasa,Samanea,Samanea saman,NA,0.678168
0.71225,species,pantree,sap1sa,Sapindus,Sapindus saponaria,0.735455,0.693076
0.412806,genus,pantree,sapisp,Sapium,Sapium broadleaf,0.412806,0.509083
0.41525,species,pantree,sapiau,Sapium,Sapium glandulosum,0.412806,0.509083
0.412806,genus,pantree,sapila,Sapium,Sapium laurifolium,0.412806,0.509083
0.412806,genus,pantree,sapi2,Sapium,Sapium sp.2,0.412806,0.509083
0.615,species,pantree,sarcbr,Sarcaulus,Sarcaulus brasiliensis,0.615,0.703375
0.398667,genus,pantree,saurla,Saurauia,Saurauia yasicae,0.398667,0.398667
0.453891,species,pantree,sch2mo,Schefflera,Schefflera morototoni,0.427102,0.428823
0.3465,species,pantree,schipa,Schizolobium,Schizolobium parahyba,0.391077,0.678168
0.508424,family,pantree,schopa,Schoenobiblus,Schoenobiblus panamensis,NA,0.508424
0.53,species,pantree,sciaex,Sciadodendron,Sciadodendron excelsum,0.53,0.428823
0.540586,genus,pantree,scleco,Sclerolobium,Sclerolobium costaricense,0.540586,0.678168
0.631154,genus,pantree,sennbi,Senna,Senna bicapsularis,0.631154,0.678168
0.631154,genus,pantree,sennda,Senna,Senna dariensis,0.631154,0.678168
0.631154,genus,pantree,sennre,Senna,Senna reticulata,0.631154,0.678168
0.703375,family,pantree,sideca,Sideroxylon,Sideroxylon capiri,NA,0.703375
0.703375,family,pantree,sidece,Sideroxylon,Sideroxylon celastrinum,NA,0.703375
0.703375,family,pantree,sidepe,Sideroxylon,Sideroxylon persimile,NA,0.703375
0.474333,species,pantree,sim1ce,Simaba,Simaba cedron,0.419333,0.421875
0.419333,genus,pantree,sim1po,Simaba,Simaba polyphylla,0.419333,0.421875
0.384643,species,pantree,simaam,Simarouba,Simarouba amara,0.415047,0.421875
0.656875,genus,pantree,simima,Simira,Simira maxonii,0.656875,0.635113
0.6562,genus,pantree,sipaco,Siparuna,Siparuna conica,0.6562,0.588
0.655,species,pantree,sipacu,Siparuna,Siparuna cuspidata,0.6562,0.588
0.6562,genus,pantree,sipagr,Siparuna,Siparuna grandiflora,0.6562,0.588
0.6562,genus,pantree,sipagu,Siparuna,Siparuna guianensis,0.6562,0.588
0.6562,genus,pantree,sipapa,Siparuna,Siparuna pauciflora,0.6562,0.588
0.6562,genus,pantree,sipa3,Siparuna,Siparuna sp.3,0.6562,0.588
0.6562,genus,pantree,sipa5,Siparuna,Siparuna sp.5,0.6562,0.588
0.6562,genus,pantree,sipath,Siparuna,Siparuna thecaphora,0.6562,0.588
0.624723,genus,pantree,sloam2,Sloanea,Sloanea medusula,0.624723,0.550108
0.624723,genus,pantree,sloame,Sloanea,Sloanea megaphylla,0.624723,0.550108
0.624723,genus,pantree,sloam1,Sloanea,Sloanea meianthera,0.624723,0.550108
0.624723,genus,pantree,sloa5,Sloanea,Sloanea sp.5,0.624723,0.550108
0.624723,genus,pantree,sloa6,Sloanea,Sloanea sp.6,0.624723,0.550108
0.624723,genus,pantree,sloa7,Sloanea,Sloanea sp.7,0.624723,0.550108
0.624723,genus,pantree,sloa8,Sloanea,Sloanea sp.8,0.624723,0.550108
0.624723,genus,pantree,sloa9,Sloanea,Sloanea sp.9,0.624723,0.550108
0.624723,genus,pantree,sloate,Sloanea,Sloanea terniflora,0.624723,0.550108
0.624723,genus,pantree,sloazu,Sloanea,Sloanea zuliaensis,0.624723,0.550108
0.23,species,pantree,socrex,Socratea,Socratea exorrhiza,0.23,0.568511
0.421683,genus,pantree,sola5,Solanum,Solanum enves_purpura,0.421683,0.516194
0.421683,genus,pantree,solaar,Solanum,Solanum arboreum,0.421683,0.516194
0.421683,genus,pantree,solaas,Solanum,Solanum asperum,0.421683,0.516194
0.421683,genus,pantree,cyphha,Solanum,Solanum circinatum,0.421683,0.516194
0.421683,genus,pantree,solaex,Solanum,Solanum cordovense,0.421683,0.516194
0.421683,genus,pantree,solaha,Solanum,Solanum hayesii,0.421683,0.516194
0.421683,genus,pantree,solaja,Solanum,Solanum jamaicense,0.421683,0.516194
0.421683,genus,pantree,sola3,Solanum,Solanum sp.3,0.421683,0.516194
0.421683,genus,pantree,solast,Solanum,Solanum steyermarkii,0.421683,0.516194
0.608333,genus,pantree,soroaf,Sorocea,Sorocea affinis,0.608333,0.539787
0.608333,genus,pantree,soropu,Sorocea,Sorocea pubivena,0.608333,0.539787
0.595,genus,pantree,spacco,Spachea,Spachea correae,0.595,0.63709
0.595,genus,pantree,spacme,Spachea,Spachea membranacea,0.595,0.63709
0.34396,species,pantree,spatca,Spathodea,Spathodea campanulata,0.34396,0.618486
0.37,species,pantree,sponcy,Spondias,Spondias dulcis,0.364781,0.557831
0.390706,species,pantree,sponmo,Spondias,Spondias mombin,0.364781,0.557831
0.364781,genus,pantree,sponpu,Spondias,Spondias purpurea,0.364781,0.557831
0.430667,species,pantree,sponra,Spondias,Spondias radlkoferi,0.364781,0.557831
0.635113,family,pantree,stacdi,Stachyarrhena,Stachyarrhena heterochroa,NA,0.635113
0.639063,family,pantree,staupe,Stauranthus,Stauranthus perforatus,NA,0.639063
0.49,genus,pantree,stemal,Stemmadenia,Stemmadenia alfari,0.49,0.566004
0.49,genus,pantree,stemgr,Stemmadenia,Stemmadenia grandiflora,0.49,0.566004
0.49,genus,pantree,stem1,Stemmadenia,Stemmadenia sp.1,0.49,0.566004
0.49,genus,pantree,stem3,Stemmadenia,Stemmadenia sp.3,0.49,0.566004
0.388091,species,pantree,sterap,Sterculia,Sterculia apetala,0.4256,0.475382
0.4256,genus,pantree,stergl,Sterculia,Sterculia costaricana,0.4256,0.475382
0.49,species,pantree,sterre,Sterculia,Sterculia recordiana,0.4256,0.475382
0.4256,genus,pantree,ster2,Sterculia,Sterculia sp.2,0.4256,0.475382
0.695947,genus,pantree,stry1,Strychnos,Strychnos sp.1,0.695947,0.609179
0.4825,genus,pantree,stylst,Stylogyne,Stylogyne turbacensis,0.4825,0.647118
0.844349,genus,pantree,swarpa,Swartzia,Swartzia panamensis,0.844349,0.678168
0.844349,genus,pantree,swars1,Swartzia,Swartzia simplex,0.844349,0.678168
